timestamp_ms,angle_rad,velocity,wheel_vel,pwm,is_valid,user_free
161795.0,-0.0009,-0.0295,0.2123,-62.11,1,0
161805.0,-0.0009,-0.0229,0.1756,-61.86,1,0
161812.0,-0.0009,0.0011,0.1453,-45.16,1,0
161823.0,-0.0009,-0.0284,0.1202,-65.27,1,0
161835.0,-0.0009,-0.0164,0.0994,-54.5,1,0
161846.0,-0.0009,0.0076,0.0822,44.35,1,0
161855.0,-0.0009,-0.0033,0.068,-47.21,1,0
161863.0,-0.0009,0.0153,0.0563,47.78,1,0
161873.0,-0.0009,0.0371,-1.0839,59.66,1,0
161886.0,0.0002,0.0218,-2.0272,55.15,1,0
161896.0,0.0002,0.0338,-1.6771,61.07,1,0
161905.0,0.0002,0.0415,-1.3874,64.82,1,0
161913.0,0.0002,0.0207,-1.1477,54.4,1,0
161923.0,0.0013,0.0371,-0.9495,66.9,1,0
161936.0,0.0013,0.0164,-0.7855,56.51,1,0
161945.0,0.0013,-0.0065,-0.6498,45.03,1,0
161956.0,0.0013,-0.0022,0.5929,47.18,1,0
161963.0,0.0013,-0.0153,1.621,-45.39,1,0
161973.0,0.0013,-0.0251,1.341,-60.77,1,0
161986.0,0.0013,0.0,1.1094,49.65,1,0
161996.0,0.0002,-0.0273,0.9178,-57.77,1,0
162005.0,0.0002,-0.024,0.7592,-56.98,1,0
162013.0,0.0002,0.0087,0.6281,49.83,1,0
162023.0,0.0002,-0.0295,0.5196,-55.54,1,0
162036.0,0.0002,0.0011,0.4299,45.41,1,0
162046.0,0.0002,0.0076,0.3556,48.47,1,0
162055.0,0.0002,-0.0371,0.2942,-61.02,1,0
162063.0,0.0002,-0.0033,0.2434,-43.06,1,0
162076.0,0.0002,-0.0055,0.2013,-44.28,1,0
162086.0,0.0002,-0.0295,0.1666,-57.43,1,0
162096.0,-0.0009,-0.0109,0.1378,-52.47,1,0
162106.0,-0.0009,-0.0207,0.114,-57.33,1,0
162113.0,-0.0009,-0.0251,0.0943,-59.48,1,0
162125.0,-0.0009,0.0131,0.078,46.58,1,0
162137.0,-0.0009,0.0033,0.0645,-44.34,1,0
162147.0,-0.0009,-0.0142,0.0534,-54.21,1,0
162157.0,-0.0009,0.0076,0.0442,43.7,1,0
162164.0,-0.0009,-0.0185,0.0365,-58.51,1,0
162174.0,-0.0009,0.0,0.0302,-45.75,1,0
162187.0,-0.0009,0.0076,0.025,43.82,1,1
162197.0,-0.0009,-0.0371,0.0207,-64.54,1,1
162206.0,-0.0009,-0.0131,0.0171,-53.68,1,1
162214.0,-0.0009,0.0011,0.0142,-45.48,1,1
162225.0,-0.002,-0.0196,0.0117,-60.29,1,1
162236.0,-0.002,-0.012,0.0097,-60.73,1,1
162246.0,-0.002,0.0098,0.008,-45.13,1,1
162257.0,-0.002,-0.0098,0.0066,-62.43,1,1
162264.0,-0.002,-0.0011,-1.125,-56.22,1,1
162277.0,-0.0009,0.0142,-2.0612,48.66,1,1
162286.0,-0.002,-0.0175,-1.7052,-59.06,1,1
162296.0,-0.0009,0.0262,-1.4106,54.04,1,1
162306.0,-0.0009,0.0229,-1.167,52.1,1,1
162314.0,-0.0009,-0.012,-0.9654,-51.58,1,1
